Registration district,Country,Year,Total,latitude,longitude
BENNINGTON,,1861,303.1299314,53.00845195,-0.783467044
BENNINGTON,,1861,303.1299314,53.04924117,-0.827571867
BENNINGTON,,1861,453.1365109,53.09457974,0.074869411
BENNINGTON,,1861,303.1299314,53.07770964,-0.828026675
BENNINGTON,,1861,453.1365109,53.01570189,0.086620926
BENTHAM,,1861,528.2349898,54.15406244,-2.437186303
BERE REGIS,,1861,281.0653139,50.71586887,-2.120196907
BERE REGIS,,1861,281.0653139,50.7159801,-2.228590148
BERKELEY,,1861,408.2200113,51.67583447,-2.453958694
BERKHAMPSTEAD,,1861,694.6875,51.77553138,-0.562367526
BERWICK STREET,LONDON,1861,1687.672968,51.51247641,-0.132940806
BETTWSYCOED,,1861,286.1817809,53.0851989,-3.884567762
BEVERLEY,,1861,1015.156094,53.83681959,-0.460920938
BEVERLEY,,1861,1015.156094,53.80482125,-0.376193183
BEWDLEY,,1861,337.6465116,52.39467046,-2.333378526
BEWDLEY,,1861,337.6465116,52.3772356,-2.396451977
BEXHILL,,1861,214.7103825,50.86584165,0.469815582
BEXHILL,,1861,214.7103825,50.91329623,0.572639294
BEXLEY,,1861,764.0399522,51.45578397,0.143188492
BEXLEY,,1861,764.0399522,51.48853904,0.151198525
BIBURY,,1861,325.7505774,51.78942957,-1.773142065
BICESTER,,1861,548.1882528,51.91481412,-1.13134105
BICESTER,,1861,548.1882528,51.82346958,-1.100585971
BICKERSTAFFE,,1861,260.8783314,53.51580676,-2.859114509
BIDEFORD,,1861,509.9128503,51.00872499,-4.199740752
BIDFORD,,1861,160.7076979,52.1697118,-1.882311509
BIGGLESWADE,,1861,1802.230344,52.04187242,-0.300575814
BIGGLESWADE,,1861,1802.230344,52.08149378,-0.244517841
BILLESDON,,1861,479.0658781,52.63541076,-1.092578228
BILLESDON,,1861,479.0658781,52.61667606,-0.945818486
BILLINGHAY,,1861,403.1486811,53.10681325,-0.316321988
BILLINGSHURST,,1861,235.4992918,51.05009168,-0.444092867
BILLINGSHURST,,1861,235.4992918,51.04131525,-0.506766764
BILLINGTON,,1861,134.2345391,53.80849411,-2.458056197
BILSTON,BILSTON,1861,855.2836882,52.56720191,-2.073489511
BILTON,,1861,144.7295918,53.95608586,-1.276819788
BINBROOK,,1861,223.5996425,53.38037018,-0.151063761
BINGHAM,,1861,653.7293531,52.95208493,-0.895245049
BINGLEY,,1861,712.6230759,53.86266002,-1.848390596
BINGLEY,,1861,712.6230759,53.83625687,-1.93104411
BINGLEY,,1861,712.6230759,53.85158295,-1.9028062
BINSTED,,1861,225.5097837,51.0960847,-0.895589892
BINSTED,,1861,225.5097837,51.16760203,-0.902454338
BIRKENHEAD,LIVERPOOL & BIRKENHEAD,1861,1652.834238,53.39517535,-3.03553738
BIRTLE,,1861,168.3183828,53.61316072,-2.239119707
BIRTLE,,1861,168.3183828,53.60071502,-2.253424473
BISHOP AUCKLAND,,1861,1098.229285,54.66505253,-1.654017174
BISHOP STORTFORD,,1861,459.1910398,51.89923346,0.146462858
BISHOP STORTFORD,,1861,459.1910398,51.85890303,0.083702253
BISHOP STORTFORD,,1861,459.1910398,51.87319745,0.158101357
BISHOPS CANNINGS,,1861,126.2649842,51.37151506,-1.908976823
BISHOPS CANNINGS,,1861,126.2649842,51.31060303,-1.886723741
BISHOPS CANNINGS,,1861,126.2649842,51.3798415,-1.815799237
BISHOPS CASTLE,,1861,246.8442004,52.50674643,-3.026800243
BISHOPS FROME,,1861,295.9333333,52.1410747,-2.539974797
BISHOPS FROME,,1861,295.9333333,52.19706332,-2.542618517
BISHOPS FROME,,1861,295.9333333,52.13520758,-2.479951077
BISHOPS FROME,,1861,295.9333333,52.1289056,-2.343797854
BISHOPS LYDEARD,,1861,264.7749612,51.07153961,-3.208063289
BISHOPS LYDEARD,,1861,264.7749612,51.05943476,-3.138284642
BISHOPS TAWTON,,1861,465.1271007,51.03331585,-4.081329702
BISHOPS TAWTON,,1861,465.1271007,51.07256667,-4.0688
BISHOPS WALTHAM,,1861,187.1145482,50.9580764,-1.230891242
BISHOPSTONE,,1861,212,51.0447686,-1.951989669
BISHOPSTONE,,1861,212,51.0812,-1.869566667
BISLEY,,1861,265.4342833,51.74712129,-2.130031275
BISLEY,,1861,265.4342833,51.79284152,-2.126727937
BITTON,,1861,297.8783353,51.40810494,-2.426516149
BITTON,,1861,297.8783353,51.44616979,-2.52367811
BITTON,,1861,297.8783353,51.44289992,-2.461363208
BLACK TORRINGTON,,1861,154.3133266,50.80788684,-4.23234183
BLACK TORRINGTON,,1861,154.3133266,50.83679276,-4.125137862
BLACKBURN,BLACKBURN,1861,2420.517208,53.75559495,-2.492440821
BLACKBURN,BLACKBURN,1861,2420.517208,53.74553894,-2.474803673
BLACKBURN,BLACKBURN,1861,2420.517208,53.74520527,-2.45515154
BLACKBURN,BLACKBURN,1861,2420.517208,53.73457057,-2.480683566
BLACKLEY,MANCHESTER & SALFORD,1861,249.8092626,53.52524,-2.213665433
BLACKWELL,,1861,203.4917419,53.11916782,-1.338223377
BLAENAVON,,1861,237.6122417,51.78879033,-3.043700828
BLAENAVON,,1861,237.6122417,51.78876234,-3.07893113
BLAGDON,,1861,465.3064949,51.34463338,-2.758521585
BLAGDON,,1861,465.3064949,51.36799566,-2.677792859
BLANDFORD,,1861,590.2224861,50.89950234,-2.214213767
BLANDFORD,,1861,590.2224861,50.87973096,-2.137989662
BLATCHINWORTH,,1861,131.1079077,53.65746247,-2.075367015
BLETCHINGTON,,1861,430.8841709,51.89258911,-1.231679958
BLIDWORTH,,1861,71.7657993,53.09608267,-1.12879353
BLOFIELD,,1861,292.4255097,52.60570806,1.500273485
BLOFIELD,,1861,292.4255097,52.63846184,1.435797103
BLOXHAM,,1861,389.0684442,51.97471684,-1.351576651
BLOXHAM,,1861,389.0684442,52.0080613,-1.396141337
BLOXWICH,WALSALL,1861,392.9069449,52.62378319,-1.989542955
BLYTH,,1861,445.6124247,55.11995379,-1.53283695
BLYTH,,1861,445.6124247,55.08765197,-1.592175409
BLYTH,,1861,445.6124247,55.10233791,-1.551623072
BOBBINGWORTH,,1861,287.1526364,51.73488151,0.273109423
BOCKING,,1861,356.0674242,,
BOCKLETON,,1861,230.5458716,52.29219917,-2.523362887
BODENHAM,,1861,321.9199403,52.23443333,-2.571033333
BODENHAM,,1861,321.9199403,52.22360358,-2.587890692
BODENHAM,,1861,321.9199403,52.18963222,-2.712927801
BODENHAM,,1861,321.9199403,52.13063056,-2.640783719
BOLLINGTON,MACCLESFIELD,1861,471.0472303,53.26573333,-2.113666667
BOLLINGTON,MACCLESFIELD,1861,471.0472303,53.31360891,-2.074297041
BOLSOVER,,1861,205.5716247,53.229936,-1.311399804
"BOLTON, EASTERN",BOLTON,1861,1124.408386,53.56935821,-2.429751529
"BOLTON, WESTERN",BOLTON,1861,720.132591,53.57344609,-2.440008561
BOOTHAM,YORK,1861,1410.904847,53.96850227,-1.087725901
BOOTHAM,YORK,1861,1410.904847,53.95601222,-1.079720131
BOOTHAM,YORK,1861,1410.904847,54.00017374,-1.054324963
BOOTLE,,1861,299.8333333,54.33533333,-3.348566667
BOOTLE,,1861,299.8333333,54.33773044,-3.32513646
BOOTLE,,1861,299.8333333,54.29281594,-3.296943568
BOROUGH ROAD,LONDON,1861,995.1913408,51.50082505,-0.095931484
BOROUGHBRIDGE,,1861,446.115545,54.11826507,-1.310992756
BOROUGHBRIDGE,,1861,446.115545,54.09155652,-1.462133815
BOROUGHBRIDGE,,1861,446.115545,54.11163714,-1.436317872
BOROUGHBRIDGE,,1861,446.115545,54.11741745,-1.383688876
BOROUGHBRIDGE,,1861,446.115545,54.10123142,-1.357448153
BOROUGHBRIDGE,,1861,446.115545,54.04582607,-1.404209356
BOROUGHBRIDGE,,1861,446.115545,54.07094275,-1.392032379
BOSCASTLE,,1861,187.8453311,50.67377242,-4.67017344
BOSTON,BOSTON,1861,1386.645646,53.05349488,0.02556879
BOSTON,BOSTON,1861,1386.645646,52.98230174,-0.02974299
BOSTON,BOSTON,1861,1386.645646,53.00166667,-0.057833333
BOSTON,BOSTON,1861,1386.645646,52.99788255,0.008248947
BOTESDALE,,1861,311.4122325,52.33922921,1.044419655
BOTTISHAM,,1861,151.7337386,52.24451441,0.277920448
BOUGHTON,,1861,235.0379138,51.28980005,0.939021054
BOURN,,1861,510.9031467,52.77095436,-0.378876804
BOURTON ON THE WATER,,1861,275.1785328,51.90787792,-1.652615622
BOURTON ON THE WATER,,1861,275.1785328,51.88020955,-1.754655282
BOW,,1861,298,50.79505243,-3.807633668
BOW,,1861,298,50.72510005,-3.844832318
BOW,LONDON,1861,1302.992912,51.52071355,-0.01242323
BOW,LONDON,1861,1302.992912,51.53506888,-0.022507717
BOWLING,BRADFORD,1861,531.1774539,53.77694431,-1.741306689
BOXGROVE,,1861,223.8151307,50.86178867,-0.719826372
BOXGROVE,,1861,223.8151307,50.837636,-0.756812451
BOXGROVE,,1861,223.8151307,50.82933164,-0.719105004
BRABOURNE,,1861,190.1414743,51.12740148,0.945801657
BRACKLEY,,1861,471.7202652,52.02090985,-1.170357381
BRACKLEY,,1861,471.7202652,51.96246419,-1.11600052
BRACKNELL,,1861,339.2927551,51.41847523,-0.728621474
BRADFIELD,,1861,603.2566538,53.43885119,-1.640707732
BRADFIELD,,1861,603.2566538,53.39521121,-1.519689545
BRADFORD ABBAS,,1861,224.8672249,50.88973333,-2.466033333
BRADFORD ABBAS,,1861,224.8672249,50.95369275,-2.536735332
BRADFORD ABBAS,,1861,224.8672249,50.99635662,-2.565561787
BRADFORD EAST END,BRADFORD,1861,1539.024594,53.79883422,-1.733527384
BRADFORD NORTH-WESTERN,,1861,260.1370585,51.37083326,-2.268946516
BRADFORD SOUTH-EASTERN,,1861,383.5406012,51.35412638,-2.227661028
BRADFORD SOUTH-EASTERN,,1861,383.5406012,51.33850625,-2.309046545
BRADFORD WEST END,BRADFORD,1861,1393.049175,53.79717868,-1.756778537
BRADLEY,,1861,178,51.29358724,-2.208432936
BRADWELL,,1861,123.1306195,51.69898193,0.889729629
BRADWELL,,1861,123.1306195,51.6762,0.8114
BRADWORTHY,,1861,73.0802198,50.91324685,-4.290238669
BRADWORTHY,,1861,73.0802198,50.91493015,-4.339965449
BRAFIELD,,1861,224.2627566,52.15780173,-0.787918201
BRAFIELD,,1861,224.2627566,52.21164919,-0.764247872
BRAILSFORD,,1861,322.135367,52.95749764,-1.666291188
BRAILSFORD,,1861,322.135367,53.01395918,-1.600694947
BRAINTREE,,1861,501.3798332,51.75627811,0.654022559
BRAINTREE,,1861,501.3798332,51.8927451,0.605056328
BRAINTREE,,1861,501.3798332,51.85406667,0.636533333
BRAINTREE,,1861,501.3798332,51.85933735,0.557305421
BRAMHAM,,1861,305.6955115,53.93163333,-1.313266667
BRAMHAM,,1861,305.6955115,53.8852094,-1.37388562
BRAMLEY,,1861,229.1831267,51.37319851,-0.996907249
BRAMLEY,,1861,229.1831267,51.29223883,-1.159761836
BRAMLEY,,1861,229.1831267,51.32014262,-1.067410772
BRAMPTON,,1861,361.0345521,54.93787888,-2.652124989
BRANDESBURTON,,1861,130,53.92420065,-0.281302609
BRANDESBURTON,,1861,130,53.90586667,-0.339966667
